"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"337","CAF-MM-F02","Market Research 2","Prof. Dr. Joachim Scholz-Ligma","SoSe26"
"338","CAF-MM-F02","Market Research 3","Prof. Dr. Joachim Scholz-Ligma","SoSe26"
"339","CAF-MM-F03","Kommunikation und Käuferverhalten 1","Prof. Dr. Dirk-Mario Boltz","SoSe26"
"340","CAF-MM-F03","Kommunikation und Käuferverhalten 2 Blended","Simone Krüger","SoSe26"
"341","CAF-MM-F03","Communication Strategies and Consumer Behaviour 3","Dr. Silke Knoll","SoSe26"
"342","CAF-MM-F05","Digital Strategies for Public Communication, Social Media and Marketing","Marion Blacher-Schwake","SoSe26"
"343","CAF-MM-F08","Diversity in Consumer Research","Dr. Silke Knoll","SoSe26"
"344","CAF-MM-F09","Online Marketing","Prof. Dr. Sonja Klose","SoSe26"
"345","CAF-MPO-F01","Personalmanagement 1","Prof. Dr. Monika Huesmann","SoSe26"
"346","CAF-MPO-F01","Personalmanagement 2","Dr. Mona Mylius","SoSe26"
"347","CAF-MPO-F01","Personalmanagement 3 Blended","Dr. Katharina Harsch","SoSe26"
"348","CAF-MPO-F01","Human Resource Management 4","Dr. Martina Heike Schubert","SoSe26"
"349","CAF-MPO-F02","Organisationsgestaltung 1","Dr. Katharina Harsch","SoSe26"
"350","CAF-MPO-F02","Organisationsgestaltung 2 Blended","Dr. Andreas Wieg","SoSe26"
"351","CAF-MPO-F02","Organizational Design 3","Dr. Michael Graffius","SoSe26"
"352","CAF-MPO-F03","Rechtliche Aspekte von Personal und Organisation","Prof. Dr. Reingard Zimmer","SoSe26"
"353","CAF-MPO-F05","Führung und Teamarbeit in hybriden Arbeitsumgebungen 1","Prof. Dr. Christine Gockel","SoSe26"
"354","CAF-MPO-F06","Management Consulting","Prof. Dr. Matthias Tomenendal","SoSe26"
"355","CAF-MRE-F01","Bilanzierung und Recht der Rechnungslegung 1","Prof. Dr. Nadja Jehle","SoSe26"
"356","CAF-MRE-F01","Bilanzierung und Recht der Rechnungslegung 2 Blended","Prof. Dr. Hans Lieck","SoSe26"
"357","CAF-MRE-F02","Internationale Rechnungslegung 1- Blended","Prof. Dr. Madeleine Janke","SoSe26"
