Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende,Sprache
WiRecht-M07-F01,Arbeitsrecht II,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Stefanie Lorenzen,Deutsch
WiRecht-M24-F01,Praktische Anwendungen des Wirtschaftsrechts,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Torsten Straub,Deutsch
WiRecht-M03-F01,Zivilrecht II,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Arnold Lehmann-Richter,Deutsch
WiRecht-M35-F01,Statistik,5,Klausur,seminaristischer Unterricht,Dr. Michael Schlegel,Deutsch
WiRecht-M11-F02,Öffentliches Wirtschaftsrecht,5,Klausur,seminaristischer Unterricht,Prof. Dr. Johannes Schäffer / Nina Tippmann,Deutsch
WiRecht-M01-F01,Einführung in das Studium,2,Leistungstest (undifferenziert),Projektseminar,Prof. Dr. Sebastian Schunke,Deutsch
WiRecht-M34-F01,Volkswirtschaftliche Rahmenbedingungen,5,Klausur,Seminar,Dr. Sylvi Rzepka,Deutsch
WiRecht-M02-F01,Zivilrecht I,5,Klausur,seminaristischer Unterricht,Julia Preußer,Deutsch
BA-WiIng-M32-F01,Projektmanagement und Fallstudien,5,Kombinierte Prüfung,seminaristischer Unterricht,Frank Hinrichs / Charlotte Ritter,Deutsch
BA-WiIng-M33-F01,Unternehmenssimulation mit Teamentwicklung und Supervision - Unternehmenssimulation mit Teamentwicklung und Supervision 1,5,Kombinierte Prüfung (undifferenziert),Übung,Prof. Dr. rer. Christian Noss / Susanne Schubert,Deutsch
BA-WiIng-M34-F01,Strategische Finanzplanung und Bewertung,5,Klausur,seminaristischer Unterricht,Prof. Dr. Frank Witte,Deutsch
BA-WiIng-M36-F01,Nachhaltiges Operations Management II,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Eberhard Schmid,Deutsch
BA-WiIng-M37-F01,Analyse unternehmerischer Nachhaltigkeit,5,Klausur,seminaristischer Unterricht,Prof. Dr. Annett Baumast,Deutsch
BA-WiIng-M21-F01,Statistik,5,Klausur,seminaristischer Unterricht,Dr. Hartmut Bauer,Deutsch
BA-WiIng-M22-F01,Investition und Finanzierung,5,Klausur,seminaristischer Unterricht,Prof. Dr. Axel Hellmann,Deutsch
BA-WiIng-M07-F02,Business English II,0,Kombinierte Prüfung,Übung,Sandra Baker,Englisch
BA-WiIng-M07-F03,Business English III,0,Kombinierte Prüfung,Übung,Sandra Baker,Englisch
BA-WiIng-M08-F01,Einführung in die Umweltökonomie und nachhaltige Entwicklung,5,Klausur,seminaristischer Unterricht,Gerrit von Jorck,Deutsch
BA-WiIng-M09-F01,Marketing,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. Harald Rüggeberg,Deutsch
BA-WiIng-M33-F01,Unternehmenssimulation mit Teamentwicklung und Supervision - Unternehmenssimulation mit Teamentwicklung und Supervision 2,5,Kombinierte Prüfung (undifferenziert),Übung,Robert Dabitz / Sandra Fanroth,Deutsch
