Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende
BA-IDB-M17-F01,Statistics & Applications in Data Science,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Maria Osipenko / Fanqi Meng
BA-IDB-M22-F01,Entrepreneurial Project III,10,Portfolio,"Projektseminar, Action-learning",Prof. Dr. Christoph Dörrenbächer / Rafael Kugel / Samir Roshandel
BA-IDB-M24-F01,Storytelling for Business & Business and Data Ethics,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Prof. Dr. Katja Andresen / Jonny Bix Bongers
BA-IDB-M08-F01,Digital Marketing,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Manuel Martinez Estrada
BA-IDB-M11-F01,Digital Literacy I: Coding,5,Portfolio,seminaristischer Lehrvortrag,Prof. Dr. Markus Löcher
BA-IDB-M21-F04,Entrepreneurial Project II,5,Portfolio,"Projektseminar, Action-learning",Prof. Dr. Fatoumata Camara / Dr. Yana Heussen
BA-IDB-M23-F03,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 1,5,Kombinierte Prüfung,Übung,Prof. Dr. Tobias Braun / Selen Soysal-Kazanç
BA-IDB-M23-F03,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 2,5,Kombinierte Prüfung,Übung,Prof. Dr. Tobias Braun / Christina Druffel
BA-BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 1,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Jacqueline Grassmé-Grave
BA-BUS-MSQ-F02,Kommunikation und Präsentation - Kommunikation und Präsentation 1,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Monika Kaiser
BA-BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel),2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Michael Faustino Bauer
BA-BUS-MSQ-F05,Gesprächsführung,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Petra Fléing
BA-BUS-MSQ-F06,Interkulturelle Kompetenz,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. Martina Heike Schubert / Dr. Gregor Wittke
BA-BUS-MSQ-F08,Design Thinking,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Melissa Zaske
BA-BUS-MSQ-F12,Generative AI,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Christian Klang
BA-BUS-MSP-F06,Business English B1: Compact Refresher,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Mariana Aguilar Ramírez
BA-BUS-MSP-F02,Business English and Communication B1+,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Mariana Aguilar Ramírez
BA-BUS-MSP-F03,Business English and Communication B2 - Business English and Communication B2 __1,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. phil. Elena Polyakova
BA-BUS-MSP-F03,Business English and Communication B2 - Business English and Communication B2 __ 2,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Giles Shephard
BA-BUS-MSP-F03,Business English and Communication B2 - Business English and Communication B2 __ 3 Blended - Gruppe entfällt,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",
BA-BUS-MSP-F04,Business English and Communication B2+ - Business English and Communication B2+ __ 1,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. phil. Elena Polyakova
BA-BUS-MSP-F04,Business English and Communication B2+ - Business English and Communication B2+ __ 2,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Ellen Klein
