modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
BUS-M30-F01,Betriebliche Informationssysteme ,5,,Kombinierte Prüfung,seminaristischer Unterricht
Franz-F04,Wirtschaftsfranzösisch B 1.2,5,,Kombinierte Prüfung,Praktische Übung
Franz-F05,Wirtschaftsfranzösisch B 2.1,5,,Kombinierte Prüfung,Praktische Übung
Franz-F06,Wirtschaftsfranzösisch B 2.2,5,,Kombinierte Prüfung,Praktische Übung
BUS-M39-F01,Praxisseminar ,1,,Leistungstest (undifferenziert),Seminar
Deutsch-F01,Wirtschaftsdeutsch A 1.1,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F02,Wirtschaftsdeutsch A 1.2 ,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F03,Wirtschaftsdeutsch A 2.1 ,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F04,Wirtschaftsdeutsch A 2.2,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F05,Wirtschaftsdeutsch B 1.1,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F06,Wirtschaftsdeutsch B 1.2,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F07,Wirtschaftsdeutsch B 2.1,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F08,Wirtschaftsdeutsch B 2.2,5,,Kombinierte Prüfung,Praktische Übung
Deutsch-F09,Wirtschaftsdeutsch C 1,5,,Kombinierte Prüfung,Praktische Übung
BA-BUS-M40-F01,Entrepreneurial Project ,5,,Kombinierte Prüfung,Projektseminar
MPE-M01-F22,Feminist Economics,6,5,,Hausarbeit,Seminar
UntRe-M11-F01,Forschungsmethodisches Seminar,6,,Leistungstest (undifferenziert),seminaristischer Unterricht
POLEI-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Unterricht
MM-M10-F01,Tutorial Seminar II,4,,Leistungstest (undifferenziert),seminaristischer Lehrvortrag
MM-M06-F01,Marketing Project and Project Management,6,5,,Projektbericht (P),seminaristischer Unterricht
MM-M07-F01,Marketing Analytics,6,5,,Kombinierte Prüfung,Übung am PC
MM-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Lehrvortrag
EcoPol-F08,Modelling in Ecological Economics,6,5,,Kombinierte Prüfung,Seminar
EcoPol-F09,Labour and Ecology,6,5,,Hausarbeit,seminaristischer Unterricht
MA-Eco-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Unterricht
IMM-M08-F02,International Marketing Project,6,5,,Kombinierte Prüfung,seminaristischer Unterricht
IMM-M09-F04,Current Issues: Data-driven Marketing,6,5,,Klausur,seminaristischer Unterricht
IMM-M10-F02,Tutorial Seminar II,4,,Leistungstest (undifferenziert),seminaristischer Unterricht
IMM-M11-F02,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Unterricht
IMM-M06-F04,Digital Marketing,6,5,,Kombinierte Prüfung,Seminar
IMM-M06-F06,Marketing and Innovation for Impact-Driven and Sustainable Businesses,6,5,,Kombinierte Prüfung,Seminar
IBCON-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Unterricht
